Name,Handle,Party,Bio
Peter Stakemann,@StakemannPeter,C,"Medlem af Indre By Lokaludvalg for de Konservative og folketingskandidat i Københavns Storkreds. Gift, far til 2 drenge. Bor i Indre By. Advokat tlf. 40323043."
Casper Øhlers,@casperohlers,C,Folketingskandidat for Konservative i København. Borgerlig LGBT-debattør. Formand for Konservative Studerende på CBS. Casperohlers@gmail.com eller 29895049
Henrik Ræder Clausen,@HenrikRClausen,D,
Daniel Holst Pinderup,@DanielPinderup,D,"Veteran fra Forsvaret, ligestillingsnørd og Folketingskandidat for Nye Borgerlige i København."
Ketil Wathne Rasmussen,@DanielPinderup,D,"Veteran fra Forsvaret, ligestillingsnørd og Folketingskandidat for Nye Borgerlige i København."
Niels Peder Ravn,@npravn,D,Kommunikatør — reklamemand — ægtemand — far — debattør — kandidat for Nye Borgerlige
Denise Rostgaard,@npravn,D,Kommunikatør — reklamemand — ægtemand — far — debattør — kandidat for Nye Borgerlige
Sadek Al-Amood,@npravn,F,Kommunikatør — reklamemand — ægtemand — far — debattør — kandidat for Nye Borgerlige
Balder Mørk Andersen,@npravn,F,Kommunikatør — reklamemand — ægtemand — far — debattør — kandidat for Nye Borgerlige
Lisbeth Bech-Nielsen,@LisbethBNielsen,F,"MF/MP. Follow the money. Liberalsocialist på høje hæle. Finans-, erhvervs- og IT-ordfører. Forfatter til ‘Oprør For Fremtiden’ og medstifter af @LibrePrisen"
Andreas Bæk,@LisbethBNielsen,F,"MF/MP. Follow the money. Liberalsocialist på høje hæle. Finans-, erhvervs- og IT-ordfører. Forfatter til ‘Oprør For Fremtiden’ og medstifter af @LibrePrisen"
Pia Olsen Dyhr,@PiaOlsen,F,Formand for SF
Cecilie Louise Balbay Holdt,@PiaOlsen,F,Formand for SF
Melissa_Skovgaard_Jensen,@Miss_Skovgaard,F,"Jeg har mine rødder i den Grundtvigske tanke og i den jyske muld. Som socialist og feminist tror jeg på, at vi i fællesskab skal skabe en bedre og grøn verden."
Klaus Mygind,@Klausmygind,F,"2. Næstforperson for Københavns Borgerrepræsentation. Gruppeleder for SF. Medlem af Kultur- og Fritidsudvalget, Handicapråd, Borgerrådgiver og Revisionsudvalget"
Halime Oguz,@Halime9Oguz,F,"Medlem af folketinget for SF, bolig- storby, arbejdsmiljø og integrationsordfører Cand.Mag. i litteratur og Mellemøststudier halime.oguz@ft.dk"
Line Petersen,@linepetersen95,F,
Peder Holk Svendsen,@PederHolkSvends,F,"LGBTaktivist og generel busy-body, tlf 28694166"
Carl Valentin,@PederHolkSvends,F,"LGBTaktivist og generel busy-body, tlf 28694166"
Per Nørgaard Andersen,@Bluepix3,I,
jo bywater,@jobywatermusic,I,"Acoustic Singer/Songwriter, Guitarist, Artist, Guitar Tutor, Philosophizer & Bulletproof coffee drinker. New album being recorded ready for 2016/17 release."
Christian Riegels Hjorth,@riegelshjorth,I,"Mærkesager:

1. Liberal kamp imod totalitære systemer. 
2. Erhvervslivets vilkår 
3. Reformering af den offentlige sektor."
Martin Sibast Laugesen,@riegelshjorth,I,"Mærkesager:

1. Liberal kamp imod totalitære systemer. 
2. Erhvervslivets vilkår 
3. Reformering af den offentlige sektor."
Hira Nadeem,@riegelshjorth,I,"Mærkesager:

1. Liberal kamp imod totalitære systemer. 
2. Erhvervslivets vilkår 
3. Reformering af den offentlige sektor."
Charlotte Nellemann,@riegelshjorth,I,"Mærkesager:

1. Liberal kamp imod totalitære systemer. 
2. Erhvervslivets vilkår 
3. Reformering af den offentlige sektor."
Ole Birk Olesen,@olebirkolesen,I,Medlem af Københavns Borgerrepræsentation og Folketinget for LA.
Alexander Ryle,@olebirkolesen,I,Medlem af Københavns Borgerrepræsentation og Folketinget for LA.
Claus Willen,@ClausWillen,I,
SangHyok Bang,@DpJacob,K,
N. Bock,@bock_nanna,K,"mom 1st, politics 2 me 3 - Mini_Maggi on Insta & YouTube."
Jesper Housgaard,@JesperHousgaard,K,"KristenDemokrat, HB Køge-fan, Nørrebroborger, Købmand, kandidat til Folketinget i Københavns storkreds, Glad for alt italiensk, hundehvalpe og pepsicola."
Tina Mørk,@JesperHousgaard,K,"KristenDemokrat, HB Køge-fan, Nørrebroborger, Købmand, kandidat til Folketinget i Københavns storkreds, Glad for alt italiensk, hundehvalpe og pepsicola."
Gunnar Bjørn Thomsen,@JesperHousgaard,K,"KristenDemokrat, HB Køge-fan, Nørrebroborger, Købmand, kandidat til Folketinget i Københavns storkreds, Glad for alt italiensk, hundehvalpe og pepsicola."
Marina Anderson,@MarinaAFD,M,28. Nitromethane & hemis run my life. A/fuel Dragster builder/owner/driver. Supply chain nerd. Shameless small dog mom.
Louise Davidsen,@DavidsenLouise,M,Folketingskandidat for Moderaterne
Ellen Emilie,@ellenemilie_,M,EN GENERATION TIL FORSKEL
Nanna W. Gotfredsen,@NannaWG,M,Gadejuristen//The Street Lawyers + MF//Moderaterne//Københavns Storkreds
Johan Kahl,@johankahl_,M,Folketingskandidat for Moderaterne i KBH. Læser statskundskab og spiller fodbold. Kan kontaktes på tlf: 21373630.
jørgen kjøller,@jrgenkjller1,M,Folketingskandidat Moderaterne
milo,@GeorgghyLean,M,EN ALGUN LUGAR DE LOS PAISAS
Lars Philipsen Prahm,@LarsPrahm,M,
Jon Stephenson,@jgs1869,M,Guitar player for @3PillMorning. Sponsored by @PRSGuitars.
Kenneth K. Berth,@Kristensenberth,O,"fhv. medlem af Folketinget, kommunalbestyrelsesmedlem, folketingskandidat"
Helene Brix,@helenebrix,O,
Brian Bruun,@BrianBruun,O,
Jannie Bøgh,@JannieBoegh,O,
John Bo Hansen,@johnbohansen7,O,Folketingskandidat for Dansk Folkeparti i Kbh Storkreds.
Paw Karslund,@johnbohansen7,O,Folketingskandidat for Dansk Folkeparti i Kbh Storkreds.
Sikandar Siddique,@SikandaSIDDIQUE,Q,Former Member of Parliament (DK) Political leader of Independent Greens (Frie Grønne)
Elise Bjerkrheim,@SikandaSIDDIQUE,Q,Former Member of Parliament (DK) Political leader of Independent Greens (Frie Grønne)
Rajesh Holmen,@SikandaSIDDIQUE,Q,Former Member of Parliament (DK) Political leader of Independent Greens (Frie Grønne)
"Dr Rashid A Buttar, FAAPM, FACAM, FAAIM",@DrButtar,Q,Our Mission:Making the Change the World is waiting for. We've effectively treated patients from 93 countries who had been given up on. Do Right and fear NO man.
Sazan Garmiyani,@sazgarmiyani,Q,
Daniel Tomicic,@sazgarmiyani,Q,
Elena Bjerregaard Ryan,@sazgarmiyani,Q,
Iben Kirstine Parmann,@sazgarmiyani,Q,
René Bredal,@sazgarmiyani,V,
Claus Buch,@clausbuch,V,
Anders Fausbøll,@fausboll,V,"Managing Partner, Omnium Improvement ApS. Folketingskandidat for Venstre"
Martin Geertsen,@Martin_Geertsen,V,"Sundhedsordfører for @venstredk! Twitter mest om børn, Brøndby If og Borgen"
Jan E. Jørgensen,@JanEJoergensen,V,"Advokat (deponeret bestalling), Rådmand på Frederiksberg. Medlem af Folketinget for Venstre, Slotskredsen. Kulturordfører, men blander mig i meget andet."
Michael Lange OD,@DrMichaelLange,V,"Dr. Michael Lange is an optometrist, certified nutrition specialist,  radio personality and successful entrepreneur in the field of eye-related products."
Anne Rasmussen,@a_rasmussen,V,Professor @KuSamf @UiB: Lobbying | Representation | Public Opinion & Policy | Gender | Parties | Social Media | Editor @IGA_journal | PI ADVODID @ERC_Research
Bo Sandroos,@BSandroos,V,
Sasha Zvereva,@SashaZvereva,V,Солнышко; мама 3-х деток; мотоциклистка.
Sven Aage Schlosrich,@SashaZvereva,V,Солнышко; мама 3-х деток; мотоциклистка.
Linea Søgaard-Lidell,@SashaZvereva,V,Солнышко; мама 3-х деток; мотоциклистка.
Søren Sørensen,@Sorenjagerpilot,V,"Ex jagerpilot, foredragsholder, underviser, lederudvikler
Instagram: @soren.sor"
claus Gisselmann Olsen,@GisselmannClaus,Æ,
Therese Skaarup ,@ThereseLoves1D,Æ,Hi everyone! I looooove One Dirction x i'm directioner
Pelle Dragsted,@pelledragsted,Ø,Demokratisk Socialist. Medlem af Folketinget. Forfatter til Nordisk Socialisme.  Democratic Socialist. MP. Author of Nordisk Socialisme.
Rosa Lund,@RosaLundEl,Ø,"MF for Enhedslisten. Rets-, demokrati-, udlændinge- og integrationsordfører livet i små billeder på rosa_lund"
Jette Gottlieb,@Jette0712,Ø,Forsikringsmægler for offentlige kunder. Gift og har to børn på 18 og 14 år. Bor på en gård i Hornsherred
Leila Stockmarr,@LeilaStockmarr,Ø,Kæmper for rød-grøn forandring. Folketingskandidat for Enhedslisten. PhD i globale studier og politisk rådgiver: leila.stockmarr@ft.dk
Ibrahim Benli,@ibrahimbenli_,Ø,kommunalbestyrelsesmedlem i Herlev og folketingskandidat for Enhedslisten i København Storkreds
Louis Jacobsen,@ibrahimbenli_,Ø,kommunalbestyrelsesmedlem i Herlev og folketingskandidat for Enhedslisten i København Storkreds
Anna Maria vd Berg,@AnnaMariavdBerg,Ø,"Schrijver van de Schoonheid van dementie. Voor een andere kijk op dementie. Mens-zijn en mens blijven. Werkt bij Boswijk, Van Neynsel."
Clara Turms,@TurmsClara,Ø,"Feminist, socialist og folketingskandidat for Enhedslisten København."
Emil Samaras,@TurmsClara,Ø,"Feminist, socialist og folketingskandidat for Enhedslisten København."
Mette Bloch Hansen,@MetteBlocHansen,Ø,
Roanne David,@RoanneDavid1,Ø,
Dorthe Hecht,@DortheHecht,Ø,Lokalpolitiker i Tårnby Kommune for Enhedslisten
Mette Kaasfeldt Bram,@MetteBram,Å,Managing Director trying to manage a patchworklife and familiy life
"Kim Hjerrild (Å) - FT-kandidat, tidl. BR-medlem mm",@kimhjerrild,Å,"Alternativ politiker. Finans- og økonomiordfører, FT-kandidat i KBH. Taler til FV især om: Lynetteholm, bæredygtig og cirkulær økonomi, børn og unge, demokrati"
Birgitte Kehler Holst,@HolstKehler,Å,Politik Klima
Troels Chr. Jakobsen (Å),@tcjakobsen,Å,"Når vi ikke vil eje verden, kan vi leve i den.

Folketingskandidat i Kbh Storkreds - nr.2 på listen. Mindre system, mere velfærd."
Jan Kristoffersen (Å),@SuperSejeJanK,Å,"Spidskandidat til Europa-parlamentet - Alternativet.
Politisk rådgiver.
Medlem af Skatterådet."
Annika Martins,@SuperSejeJanK,Å,"Spidskandidat til Europa-parlamentet - Alternativet.
Politisk rådgiver.
Medlem af Skatterådet."
Carsten Olesen,@CarstenOlesen,Å,
Lars Corvinius Olesen,@CarstenOlesen,Å,
Christina Olumeko (Å),@OlumekoC,Å,"Medlem af Folketinget for Alternativet :) Politik skal virke - om den er blå, rød eller midt - er ligegyldigt Tlf:30919811 christina_olumeko@kk.dk"
Jon Hameister-Ries,@JonHR67,Å,"from protecting qb's to families, Injured Football Player, Associate at ZLC Financial, Owner of @meanpoutine and @meatcityYVR"
Franciska Rosenkilde,@JonHR67,Å,"from protecting qb's to families, Injured Football Player, Associate at ZLC Financial, Owner of @meanpoutine and @meatcityYVR"
Jan Schumann,@JonHR67,Å,"from protecting qb's to families, Injured Football Player, Associate at ZLC Financial, Owner of @meanpoutine and @meatcityYVR"
Noah Sturis,@JonHR67,Å,"from protecting qb's to families, Injured Football Player, Associate at ZLC Financial, Owner of @meanpoutine and @meatcityYVR"
Flemming Blicher,@FBlicher,UDEN,Ingeniør- og MBA-uddannet partiformand for Frihedslisten.
Tom Gillesberg,@TomGillesberg,UDEN,Kandidat uden for partierne i Københavns Storkreds ved fv22
Mette Frederiksen,@TomGillesberg,A,Kandidat uden for partierne i Københavns Storkreds ved fv22
Ane Halsboe,@AneHalsboe,A,Kulturminister og Kirkeminister. Denne profil fører jeg ikke som minister. Henvendelser kan sendes til min@kum.dk
Per Husted,@Perhusted,A,Medlem af Folketinget for Socialdemokraterne
Morten Klessen,@KlessenMorten,A,Folketingskandidat Nordjylland
Simon Kollerup,@KlessenMorten,A,Folketingskandidat Nordjylland
Bjarne Laustsen,@KlessenMorten,A,Folketingskandidat Nordjylland
Flemming Møller Mortensen,@KlessenMorten,A,Folketingskandidat Nordjylland
Rasmus Prehn,@KlessenMorten,A,Folketingskandidat Nordjylland
Morten Ryom,@KlessenMorten,A,Folketingskandidat Nordjylland
Daniel Nyboe Andersen,@KlessenMorten,B,Folketingskandidat Nordjylland
Bjarne Axelsen,@bjarneax,B,"Radio 101,2 FM i Brønderslev, Dansk Bordhockey Union, BHK Saksen."
Christian Friis Bach,@bjarneax,B,"Radio 101,2 FM i Brønderslev, Dansk Bordhockey Union, BHK Saksen."
Charlotte Amdi Burgess,@AmdiBurgess,B,"Folketingskandidat for Radikale Venstre i Nordjylland og medlem af Forretningsudvalget 
tlf: +4522555422"
-,@pia_alberg,B,
Steffen Holme Helledie,@pia_alberg,B,
Julius Bjørn Honoré,@BjHonore,B,"Politics, music, stocks"
Dorthe Kerschus,@BjHonore,B,"Politics, music, stocks"
Lene Burchardt,@BjHonore,C,"Politics, music, stocks"
Mikkel Højsleth,@mikkelhojsleth,C,
Lene Brix Kjelgaard Jensen,@mikkelhojsleth,C,
Mette Jensen,@MetteJensen02,C,
Jens-Henrik Kirk,@jenshenrikkirk,C,Folketingskandidat Nordjyllands storkreds
alexander klitgaard,@KlitgaardMax215,C,
Per Larsen,@PerLarsenC,C,"MF, sundhedsordfører for @konservativeDK"
Jakob Axel Nielsen,@JakobAxel67,C,Konservativ folketingskandidat. Tidligere MF og minister. Tweeter om politik og samfund.
Karsten Skov Petersen,@JakobAxel67,C,Konservativ folketingskandidat. Tidligere MF og minister. Tweeter om politik og samfund.
miatang,@Miamiamia0103,C,Student at Carnegie Mellon studying CS + Design / comics on computer graphics topics (she/her)
Kim Edberg Andersen,@kedbergandersen,D,"Folketingskandidat i Nordjylland. Manglede kun 200 stemmer i 2019. Det kommer ikke til at ske igen. Stærke holdninger om dyr, ældre, nedslidning.
Tlf: 21830531"
John Bjerg,@BjergJohn,D,
Brian Nielsen,@BjergJohn,D,
Sysser Nørholm,@Sysser44,D,
Lars Rem,@LarsRem,D,Sælger FidMe Stempelkort. Vinguide
Melina Andersen,@MelinaAndersen1,F,
Theresa Berg Andersen,@BergBergtheresa,F,
Lasse Hjorthøj Jensen,@BergBergtheresa,F,
Benjamin Jørgensen,@BergBergtheresa,F,
Henning Jørgensen,@HenningJrgense5,F,"photo, landscapes, denmark."
Thomas Kjeldsen,@trkjeldsen,F,"Civil engineer, hydrologist"
Peder Larsen,@trkjeldsen,F,"Civil engineer, hydrologist"
dorte nielsen,@dorte_m,F,
Thorkil Olesen,@dorte_m,F,
Martin Bech,@MartinNbech,I,"Vendelbo - kæmper forholdsvist utrætteligt for frihed og mod formynderi. Byrådsmedlem og folketingskandidat (LA), formand for @denfrieforbrug1"
HP Beck,@MartinNbech,I,"Vendelbo - kæmper forholdsvist utrætteligt for frihed og mod formynderi. Byrådsmedlem og folketingskandidat (LA), formand for @denfrieforbrug1"
Kenneth Skatka Hammer,@MartinNbech,I,"Vendelbo - kæmper forholdsvist utrætteligt for frihed og mod formynderi. Byrådsmedlem og folketingskandidat (LA), formand for @denfrieforbrug1"
Victor Horsted,@Hoarsted,I,
Sólbjørg Jakobsen,@solbjorgLA,I,MF - Liberal Alliance Nordjylland. Mor til 2. Kæreste til 1. Cand.jur.
Jonas Bjørn Jensen,@Jonasbjorn,I,"Socialdemokrat på Københavns Rådhus. Kæmper for en by med plads til alle. Elsker byen, cykler, solskin og liv. Fanges på 24692835"
Agnethe Benedikt Mørch,@Jonasbjorn,I,"Socialdemokrat på Københavns Rådhus. Kæmper for en by med plads til alle. Elsker byen, cykler, solskin og liv. Fanges på 24692835"
Bo Ritterbusch,@Jonasbjorn,I,"Socialdemokrat på Københavns Rådhus. Kæmper for en by med plads til alle. Elsker byen, cykler, solskin og liv. Fanges på 24692835"
Hans-Henning Terp-Hansen,@TerpHansen,I,
Michel Thrysøe,@MichelThrysoee,I,
Ronny Van Tieu,@MichelThrysoee,I,
Jørgen Bjerregaard,@CertexJBJ,K,Enjoy life 100%
Karlo Brondbjerg,@CertexJBJ,K,Enjoy life 100%
Britta Eckhardt,@EckhardtBritta,K,
Anne-Marie Jørgensen,@AnneMarieJrgen5,K,Noget særligt.. Hmm
Peter Scheinman,@ImScheinin,K,
Kristian Klarskov,@KKlarskov,M,"Politisk reporter, Politiken."
Dina Mofidi,@KKlarskov,M,"Politisk reporter, Politiken."
Rikke M Pedersen,@Rikkemp89,M,Professional swimmer. World record holder in 200m breaststroke. Olympic medalist. On my journey for 2020 Olympics.
Mohammad Rona,@mohammad_rona,M,Opvokset på Vestegnen og bosat i Aalborg - medlem af integrationsrådet i Aalborg kommune & 1.suppleant til Folketinget for Moderaterne
Carsten Ullmann Andersen,@mohammad_rona,O,Opvokset på Vestegnen og bosat i Aalborg - medlem af integrationsrådet i Aalborg kommune & 1.suppleant til Folketinget for Moderaterne
Nana Harring,@mohammad_rona,O,Opvokset på Vestegnen og bosat i Aalborg - medlem af integrationsrådet i Aalborg kommune & 1.suppleant til Folketinget for Moderaterne
per michael hauritz,@hauritz3,O,
Christian Langballe,@minilangballe,O,
Kasper Sørmer-Sørensen,@minilangballe,O,
"Susanne Zimmer, Q",@Susanne_Zimmer_,Q,"Medlem af ""Frie Grønne - Danmark nye venstrefløjsparti"", Q"
Esra Ocak,@Susanne_Zimmer_,Q,"Medlem af ""Frie Grønne - Danmark nye venstrefløjsparti"", Q"
Ayan Farah,@Susanne_Zimmer_,Q,"Medlem af ""Frie Grønne - Danmark nye venstrefløjsparti"", Q"
Marie Bjerre,@Susanne_Zimmer_,V,"Medlem af ""Frie Grønne - Danmark nye venstrefløjsparti"", Q"
Henrik Buchhave,@BuchhaveHenrik,V,"Folketingskandidat for Venstre i Mariagerfjord kredsen. Hovedbestyrelsesmedlem i Kræftens Bekæmpelse. Synsinspektør, tømrer, hobbyland - og skovmand."
Mette Hardam Hill,@Mettehh,V,
Preben Bang Henriksen,@Mettehh,V,
Anita Vivi Lilholt,@AnitaHolt14,V,
Torsten Schack,@Torstenschack,V,MF(V) Tlf. 61624260.
Phillip Sperling,@PhilSperling,V,"Danish Medical student with interests in health policy, medical education and outdoor living."
Maja Torp,@PhilSperling,V,"Danish Medical student with interests in health policy, medical education and outdoor living."
Anne Honoré Østergaard,@AnneStergaa,V,"Medlem af Folketinget, Ordfører for afbureaukratisering og arbejdsmiljø, forbrugerordfører @venstredk. Kan fanges på 61623302"
Lise Bech,@AnneStergaa,Æ,"Medlem af Folketinget, Ordfører for afbureaukratisering og arbejdsmiljø, forbrugerordfører @venstredk. Kan fanges på 61623302"
kristian bøgsted,@Kristianbogsted,Æ,
Peter Lindhout,@PLindhoutTravel,Æ,"Peter Lindhout uw Persoonlijk Reisadviseur via The Travel Club, voor maatwerk reizen over de hele wereld, service aan huis! Bel/mail Peter in Hoofddorp/Leiden."
Inger Støjberg (Not),@SubstansInger,Æ,Danmarks værdiordfører. Jeg beskæftiger mig kun med de vigtigste politiske emne - især hvis de handler om muslimer. Følg mig for populistiske citater (Parodi)
Peder Hvelplund,@pederhvelplund,Ø,"MF for Enhedslisten. Gruppeformand, Sundhedsordfører, Naturordfører, Miljøordfører, Grøn omstillingsordfører. elpehv@ft.dk 61623231"
Astrid Vang Hansen,@Astrid_Vang,Ø,
Susanne Flydtkjær,@Sflydtkjaer,Ø,
Runa Friis Hansen,@RunaFriis,Ø,
Berit Raldin,@RunaFriis,Ø,
Malene Ingwersen,@RunaFriis,Ø,
Stine Ry Andersen,@RunaFriis,Ø,
Pia Thorsen,@pia_thorsen,Ø,Aktiv i Enhedslisten i kampen for solidaritet og lighed
Janne Toft-Lind,@pia_thorsen,Ø,Aktiv i Enhedslisten i kampen for solidaritet og lighed
Nicklas Gjedsig - Alternativet,@protein_of,Å,Folketingskandidat for Alternativet i Nordjylland - Jeg kæmper for det bæredygtige samfund
Jens Harder,@jharder,Å,Loves all things web. And pizza. // Sr. Director Professional Services EMEA @Sitecore // Views my own.
Mark Andrew Jewkes,@jharder,Å,Loves all things web. And pizza. // Sr. Director Professional Services EMEA @Sitecore // Views my own.
Joachim P. Kjeldsen,@plaetner,Å,"Far, økolog, humanist, journalist."
Mikkel Høj Bagger Larsson,@MhbLarsson,Å,"Forperson @AlternativeUnge, Folketingskandidat @Alternativet_ i Nordjylland,  Studerer Pol.Adm på AAU"
Liselotte Jakobe Lundgaard,@JakobeLiselotte,Å,
Theresa Scavenius,@TScavenius,Å,"PhD, associate professor, researcher in climate politics and democracy, Aalborg University Copenhagen. Kandidat for Alternativet. theresascavenius@gmail.com"
jef seistrup,@JefSeistrup,Å,"politisk engageret, primært med fokus på social retfærdighed, udligning af de alt for store forskelle fra top til bund i vores samfund og på klimakampen."
Anette Jensen Smith,@Ajsecobranding,Å,Business
Gustav Sieg Sørensen,@Ajsecobranding,Å,Business
Clara Wolf,@Ajsecobranding,Å,Business
Jette Møller,@jettemoller,UDEN,formand for SOS mod Racisme
Fie Hækkerup,@FieHaekkerup,A,Folketingskandidat for Socialdemokratiet i Hillerødkredsen og formand-emerita i @fritforum.
Miki Dam Larsen,@miki_dam,A,
Beth Menke,@BethanyLouise_2,A,
Henrik møller,@Henrikm86712011,A,"MF for Socialdemokratiet. Boligordfører, Turismeordfører og medlem af Nordisk Råd. tlf. 61625975"
Matilde Powers,@Henrikm86712011,A,"MF for Socialdemokratiet. Boligordfører, Turismeordfører og medlem af Nordisk Råd. tlf. 61625975"
Rasmus Stoklund,@Henrikm86712011,A,"MF for Socialdemokratiet. Boligordfører, Turismeordfører og medlem af Nordisk Råd. tlf. 61625975"
Christian Holm Donatzky,@Henrikm86712011,B,"MF for Socialdemokratiet. Boligordfører, Turismeordfører og medlem af Nordisk Råd. tlf. 61625975"
Tine Hessner,@Henrikm86712011,B,"MF for Socialdemokratiet. Boligordfører, Turismeordfører og medlem af Nordisk Råd. tlf. 61625975"
Martin Lidegaard,@martinlidegaard,B,Gruppeformand og politisk leder for Radikale Venstre
Jacob Netteberg,@JacobNetteberg,B,Byrådsmedlem i Rudersdal og Folketingskandidat for Radikale Venstre i Nordsjælland. Twitter er bevis: Danskerne kommer i mange modeller.
Maria Nielsen ,@MariaKatarina95,B,
Christina Thorholm,@MariaKatarina95,B,
Mette Abildgaard,@metteabildgaard,C,"Så Konservativ at det gør noget. Politisk ordfører, ældreordfører og statsrevisor. Fang mig på sms: 61624642"
Birgitte Bergman,@BirgitteBergman,C,fhv. medlem af Folketinget (K). Kontaktes på 23452830
Nikolaj Frederiksen,@NikolajBlueeyes,C,
Emma Juul Hansen,@NikolajBlueeyes,C,
Egil Hulgaard,@EHulgaard,C,MF og Bolig- og miljøordfører for @konservativedk.
Christoffer Buster Reinhardt,@EHulgaard,C,MF og Bolig- og miljøordfører for @konservativedk.
Niels Martin Viuff,@EHulgaard,C,MF og Bolig- og miljøordfører for @konservativedk.
Claus Bruncke,@EHulgaard,D,MF og Bolig- og miljøordfører for @konservativedk.
søren højbjerg,@hojbjerg16,D,
Per Olsen,@hojbjerg16,D,
Søren Regenberg,@SorenRegenberg,D,"Folketingskandidat for Nye Borgerlige i Nordsjælland

Bare aldrig mene noget,
som de andre ikke mener,
Altid ryggen fri,
Og hånden klar til stening”. Citat PH"
Mette Thiesen,@SorenRegenberg,D,"Folketingskandidat for Nye Borgerlige i Nordsjælland

Bare aldrig mene noget,
som de andre ikke mener,
Altid ryggen fri,
Og hånden klar til stening”. Citat PH"
Carsten Winther,@CarstenwinNB,D,
Marianne Bigum,@BigumMarianne,F,"FT-medlem for SF i Nordsjælland, Ingeniør, Mor til 3, medlem af SFs Landsledelse, 33374413"
Silje Brynildsen,@BrynildsenSilje,F,:-)
Jens Skov Thomsen,@jensskovthomsen,F,
Stefan B. Skrubbeltrang,@jensskovthomsen,F,
Marianne Stannum,@jensskovthomsen,F,
Peter Westermann,@jensskovthomsen,F,
Kim Bjoernstrup,@KimBjoernstrup,I,Writer of political novels and articles. Management carrier in the pharmaceutical industry. Lived in Switzerland for 21 years now Denmark.
Kira Danholm,@KiraDanholm,I,
Steffen W. Frølund,@SteffenFrolund,I,Member of Parliament @liberalalliance. CMO @Greenmobilityas. Investor. Former columnist @finansdk. Former MD @Rainmaking_io. Former Founder & CEO of Bownty.
Lars Høyer Holmqvist,@LarsHolmqvist,I,Kandidat for Liberal Alliance i Nordsjællands Storkreds
Robert Mörk,@Morkmrk,I,
Marianne Damgaard Porsborg,@porsborgstrik,I,"Tweets på dansk om strikdesign, håndarbejde, uddannelse/pædagogik, have og politik..."
Steffen Sjørslev,@Sjorslev_,I,"Bestyrelsesmedlem Konservative Studerende KU
Kampagneformand Liberal Alliances Ungdom
Folketingskandidat Liberal Alliance"
Josephine Svane,@josephine_svane,I,Folketingskandidat(LA). Kontakt: 24974038
Henrik Forsberg,@forsberg_dev,K,iOS and Swift developer. Husband. Father. Runner. AFOL. Consumer of all science fiction on Netflix.
Stig Grenov,@StigGrenov,K,"Fhv. formand for KristenDemokraterne,
Bestyrelsesmedlem KD Nordsjælland 
Lærer med over 30 års erfaring
Fhv. tillidsrepræsentant FSL"
Britta Kristensen,@BrittaKristens7,K,Folketingskandidat for Kristendemokraterne
Kurt Pedersen,@BrittaKristens7,K,Folketingskandidat for Kristendemokraterne
Eva Skade Rasmussen,@BrittaKristens7,K,Folketingskandidat for Kristendemokraterne
Jakob Engel-Schmidt,@BrittaKristens7,M,Folketingskandidat for Kristendemokraterne
Kim Mejnert Frydensbjerg,@km_frydensbjerg,M,"Folketingskandidat for Moderaterne. Optaget af by og land, respekt, uddannelse, idræt og fællesskab. Tlf: 24633772"
Ulf Helgstrand,@km_frydensbjerg,M,"Folketingskandidat for Moderaterne. Optaget af by og land, respekt, uddannelse, idræt og fællesskab. Tlf: 24633772"
Kim Leine Rasmussen,@LeineKim,M,Danish author of historical and contemporary novels with colonial and postcolonial Greenland as a special interest.
Carina Bloch Simonsen,@bloch_simonsen,M,1. suppleant til Folketinget i Nordsjælland for Moderaterne.  Udviklingssygeplejerske og cand.soc i sundhedsfremme og sundhedsstrategier & virksomhedsstudier.
Erick Thürmer,@erick_thurmer,M,Chief Executive Officer
Pia Adelsteen,@PAdelsteen,O,Folketingsmedlem for DF. Miljøordfører og formand for Miljø- og Fødevareudvalget. Valgt i Egedalkredsen.
Brian Lyck Jørgensen,@Brianlyck,O,
gert løfgren Dansk folkeparti,@gelp0810,O,Gert Løfgren DF
Birgitte Milling,@Birgitte1234,O,"Dansk Folkeparti. Danmark først. Vores ældre skal passes på og vores unge, vokse op i et land, med tradition, religion og visioner."
Christian Sødergren,@Birgitte1234,O,"Dansk Folkeparti. Danmark først. Vores ældre skal passes på og vores unge, vokse op i et land, med tradition, religion og visioner."
Lars Oskan-Henriksen,@Birgitte1234,Q,"Dansk Folkeparti. Danmark først. Vores ældre skal passes på og vores unge, vokse op i et land, med tradition, religion og visioner."
Clara Rebecca Švarc,@clarareb_svarc,Q,
Hans Andersen,@clarareb_svarc,V,
Jørgen Eirfeldt,@clarareb_svarc,V,
Elong Musc Not Paradoy (Parado/ey),@Tom_Pan_Ico,V,"Esports Professor, Gamer Designer, Plastic Crack Addict, Wannabe Artist, Crab Life. He/Him"
Mette Lene Jensen,@Tom_Pan_Ico,V,"Esports Professor, Gamer Designer, Plastic Crack Addict, Wannabe Artist, Crab Life. He/Him"
Marianne Lynghøj,@MLynghj,V,"Partner hos Ulveman & Børsting, cand.scient.pol, MBA studerende. Optimist by choice, nerd by nature, social by heart."
Sophie Løhde,@MLynghj,V,"Partner hos Ulveman & Børsting, cand.scient.pol, MBA studerende. Optimist by choice, nerd by nature, social by heart."
Lars Bregnbak,@LBregnbak,Æ,
Marlene Harpsøe,@LBregnbak,Æ,
Lars Ole Skovgaard Larsen,@LBregnbak,Æ,
Sinem Demir,@LBregnbak,Ø,
